Kingdom	ScientificName	ChineseName	Comment	DR22041504P	DR22041505P	DR22041506P	DR22041507C	DR22041508C	DR22041509B	DR22041510B	DR22041511B	DR22041512E	DR22041513E	DR22041514P	DR22041515B	DR22041516B	DR22041517B	DR22041518P	DR22041519P	DR22041520P	DR22041521P	DRzknc590	DRzknc591	DRzknc592
-	-	Type	-	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA
Bacteria	Rothia mucilaginosa	黏液罗氏菌	10/21	8	0	0	2	2	115314	2	1	0	406	0	0	0	120	1	0	0	51	0	0	0
Bacteria	Sphingomonas parapaucimobilis	类少动鞘氨醇单胞菌	21/21	4367	3607	91	21439	7372	48	51	47	55	220288	103	41	45	48	2260	3886	31	37	933	1155	1453
Bacteria	Pseudomonas fluorescens	荧光假单胞菌	21/21	1032	119	12	23299	6618	13	18	23	28	132215	24	3	5	11	300	854	3	5	86	43	64
Bacteria	Pseudomonas veronii	维罗纳假单胞菌	16/21	483	56	7	11394	3140	8	6	14	10	63928	10	0	6	0	153	419	0	0	0	14	37
Bacteria	Pseudomonas grimontii	格氏假单胞菌	14/21	380	38	0	9092	2557	5	8	12	10	51877	7	0	2	0	106	349	0	0	0	0	28
Bacteria	Methylobacterium phyllostachyos	甲基杆菌属*	8/21	0	0	0	7	3	3	8	7	17	106745	0	0	0	0	0	0	0	0	37	0	0
Bacteria	Pseudomonas panacis	人参假单胞菌	16/21	322	30	1	7156	1995	0	6	8	8	40200	10	0	0	1	79	274	3	2	25	0	0
Bacteria	Sphingomonas melonis	瓜类鞘氨醇单胞菌	21/21	778	617	15	3911	1298	8	8	11	6	38496	20	8	12	11	380	688	6	5	148	265	222
Bacteria	Pseudomonas fildesensis	假单胞菌属*	10/21	237	29	0	5371	1520	0	0	8	8	30505	0	0	0	0	61	183	0	0	0	0	12
Bacteria	Streptococcus parasanguinis	副血链球菌	8/21	1	0	0	0	1	11838	2	0	1	286	0	0	0	10	0	0	0	90	0	0	0
Bacteria	Pseudomonas extremaustralis	适冷假单胞菌	9/21	198	27	3	4748	1319	0	0	0	0	26303	3	0	0	0	55	171	0	0	0	0	0
Bacteria	Pseudomonas marginalis	莴苣叶斑病假单胞菌	9/21	155	20	3	3682	1010	0	0	0	0	20292	0	0	0	0	40	133	0	0	0	0	14
Bacteria	Xanthomonas campestris	野油菜黄单胞菌	12/21	72	13	0	1032	3623	0	1	2	2	19174	0	0	0	0	4	8	0	0	0	4	37
Bacteria	Schaalia odontolytica	龋齿放线菌	8/21	0	0	0	6	1	8325	1	0	0	52	0	0	0	4	2	0	0	140	0	0	0
Bacteria	Escherichia coli	大肠埃希菌	11/21	13	2	0	141	97	74	0	0	8735	1462	0	0	0	1	726	9	0	0	0	0	3
Bacteria	Sphingomonas sanguinis	血红鞘氨醇单胞菌	17/21	390	323	6	1916	692	5	4	7	0	19376	10	0	4	0	197	327	4	0	50	96	109
Bacteria	Abiotrophia defectiva	缺陷乏养菌	5/21	1	0	0	0	1	7661	0	0	0	6	0	0	0	95	0	0	0	0	0	0	0
Bacteria	Neisseria subflava	微黄奈瑟菌	7/21	2	0	0	0	0	6167	0	0	1	64	0	0	1	1632	0	0	0	6	0	0	0
Bacteria	Sphingomonas pseudosanguinis	伪血鞘氨醇单胞菌	20/21	344	267	7	1873	606	4	4	7	4	17383	7	2	0	5	185	320	6	7	99	90	105
