Kingdom	ScientificName	ChineseName	Comment	DR22041504P	DR22041505P	DR22041506P	DR22041507C	DR22041508C	DR22041509B	DR22041510B	DR22041511B	DR22041512E	DR22041513E	DR22041514P	DR22041515B	DR22041516B	DR22041517B	DR22041518P	DR22041519P	DR22041520P	DR22041521P	DRzknc590	DRzknc591	DRzknc592
-	-	Type	-	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA
Bacteria	Rothia mucilaginosa	黏液罗氏菌	10/21	22	0	0	3	3	224089	2	1	0	159	0	0	0	149	1	0	0	68	0	0	0
Bacteria	Sphingomonas parapaucimobilis	类少动鞘氨醇单胞菌	21/21	12395	8526	184	36129	14880	92	77	93	82	86341	249	54	74	60	4193	8877	41	50	76	349	642
Bacteria	Pseudomonas fluorescens	荧光假单胞菌	21/21	2927	281	23	39264	13358	25	27	44	42	51821	57	3	7	13	555	1950	3	6	7	13	28
Bacteria	Pseudomonas veronii	维罗纳假单胞菌	16/21	1370	132	14	19201	6337	14	8	26	14	25056	23	0	9	0	283	956	0	0	0	4	16
Bacteria	Pseudomonas grimontii	格氏假单胞菌	14/21	1077	89	0	15322	5161	8	12	23	15	20333	16	0	2	0	195	796	0	0	0	0	12
Bacteria	Methylobacterium phyllostachyos	甲基杆菌属*	8/21	0	0	0	11	6	5	11	12	25	41838	0	0	0	0	0	0	0	0	3	0	0
Bacteria	Pseudomonas panacis	人参假单胞菌	16/21	914	70	2	12059	4026	0	8	15	12	15756	22	0	0	1	146	624	4	2	2	0	0
Bacteria	Sphingomonas melonis	瓜类鞘氨醇单胞菌	21/21	2208	1458	30	6591	2619	15	11	20	8	15088	47	10	19	13	704	1570	8	6	12	80	98
Bacteria	Pseudomonas fildesensis	假单胞菌属*	10/21	672	67	0	9051	3067	0	0	14	12	11956	0	0	0	0	113	418	0	0	0	0	5
Bacteria	Streptococcus parasanguinis	副血链球菌	8/21	2	0	0	0	2	23003	2	0	1	112	0	0	0	12	0	0	0	121	0	0	0
Bacteria	Pseudomonas extremaustralis	适冷假单胞菌	9/21	560	62	5	8001	2661	0	0	0	0	10309	6	0	0	0	102	389	0	0	0	0	0
Bacteria	Pseudomonas marginalis	莴苣叶斑病假单胞菌	9/21	439	47	6	6205	2038	0	0	0	0	7953	0	0	0	0	74	302	0	0	0	0	6
Bacteria	Xanthomonas campestris	野油菜黄单胞菌	12/21	202	30	0	1739	7311	0	1	3	3	7515	0	0	0	0	6	16	0	0	0	1	16
Bacteria	Schaalia odontolytica	龋齿放线菌	8/21	0	0	0	10	2	16177	1	0	0	20	0	0	0	5	2	0	0	189	0	0	0
Bacteria	Escherichia coli	大肠埃希菌	11/21	36	4	0	236	195	143	0	0	13127	573	0	0	0	1	1347	20	0	0	0	0	1
Bacteria	Sphingomonas sanguinis	血红鞘氨醇单胞菌	17/21	1105	762	12	3228	1395	9	5	12	0	7594	22	0	6	0	364	747	5	0	4	29	48
Bacteria	Abiotrophia defectiva	缺陷乏养菌	5/21	1	0	0	0	1	14887	0	0	0	2	0	0	0	118	0	0	0	0	0	0	0
Bacteria	Neisseria subflava	微黄奈瑟菌	7/21	3	0	0	0	0	11984	0	0	1	25	0	0	1	2042	0	0	0	7	0	0	0
Bacteria	Sphingomonas pseudosanguinis	伪血鞘氨醇单胞菌	20/21	975	631	14	3156	1222	7	5	13	5	6813	16	2	0	6	342	729	8	9	8	27	46
Bacteria	Methylobacterium pseudosasicola	甲基杆菌属*	6/21	0	0	0	0	0	1	2	6	6	13272	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Methylobacterium mesophilicum	嗜中温甲基杆菌	7/21	5	0	0	9	7	0	2	5	8	13012	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Granulicatella adiacens	毗邻颗粒链菌	7/21	0	0	0	3	0	12490	0	0	0	381	0	0	2	16	0	0	5	2	0	0	0
Bacteria	Pseudomonas rhodesiae	罗氏假单胞菌	9/21	347	33	0	4357	1475	0	0	0	0	6075	0	0	0	0	56	222	0	2	0	4	0
Bacteria	Pseudomonas costantinii	康氏假单胞菌	8/21	321	33	0	4460	1514	0	0	0	0	5687	0	0	0	0	59	248	0	0	1	0	0
Bacteria	Sphingomonas yabuuchiae	鞘氨醇单胞菌	17/21	855	631	15	2564	1059	0	4	0	3	6097	21	0	8	0	288	640	3	4	6	32	48
Bacteria	Pseudomonas synxantha	类黄假单胞菌	9/21	326	33	0	4251	1490	0	0	6	0	5854	4	0	0	0	49	250	0	0	0	0	0
Bacteria	Pseudomonas sivasensis	假单胞菌属*	9/21	330	29	0	4265	1499	0	0	4	0	5725	0	0	0	0	62	230	1	0	0	0	0
Bacteria	Acinetobacter calcoaceticus/baumannii complex	鲍曼不动杆菌复合群	13/21	16	2	0	202	65	208	0	13	0	329	1	280	0	0	2	11	10649	0	0	0	9
Bacteria	Cutibacterium acnes	痤疮丙酸杆菌	19/21	885	165	3	2059	1322	13	14	7	13	6804	2	4	1	0	53	188	0	2	2	3	49
Bacteria	Pseudomonas cedrina	松柏假单胞菌	8/21	300	0	0	4170	1400	5	2	0	0	5320	0	0	0	0	54	220	0	0	0	0	0
Bacteria	Prevotella melaninogenica	产黑素普雷沃菌	11/21	3	0	0	4	7	8450	2	0	0	36	0	0	4	454	0	3	2475	24	0	0	0
Bacteria	Streptococcus infantis	婴儿链球菌	4/21	0	0	0	0	0	11229	0	0	0	17	0	0	0	153	0	0	0	5	0	0	0
Bacteria	Pseudomonas palleroniana	帕氏假单胞菌	8/21	331	38	0	3940	1300	0	0	0	4	5406	0	0	0	0	54	176	0	0	0	0	0
Bacteria	Pseudomonas tolaasii	蘑菇褐斑病假单胞菌	6/21	261	0	0	3964	1259	0	0	0	0	5262	0	0	0	0	48	185	0	0	0	0	0
Bacteria	Streptococcus mitis	缓症链球菌	9/21	15	0	0	8	6	10295	5	0	0	22	0	0	0	90	0	0	8	34	0	0	0
Bacteria	Actinomyces graevenitzii	放线菌属菌	5/21	0	0	0	0	0	9857	0	0	0	5	0	0	0	5	0	0	1	283	0	0	0
Bacteria	Streptococcus rubneri	链球菌属*	4/21	2	0	0	1	0	9919	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria	Pseudomonas allii	假单胞菌属*	9/21	243	24	6	3514	1212	0	0	5	0	4608	0	0	0	0	39	166	0	0	0	0	0
Bacteria	Pseudomonas orientalis	东方假单胞菌	7/21	205	0	0	3219	1081	0	5	0	0	4520	0	0	0	0	35	144	0	0	0	0	0
Bacteria	Pseudomonas lurida	浅黄色假单胞菌	6/21	261	0	0	3270	1097	0	0	0	0	4344	0	0	0	0	57	170	0	0	0	0	0
Bacteria	Pseudomonas kairouanensis	假单胞菌属*	6/21	262	25	0	3409	1090	0	0	0	0	4180	0	0	0	0	0	183	0	0	0	0	0
Bacteria	Sphingomonas zeae	鞘氨醇单胞菌属*	16/21	658	481	11	1932	776	8	6	0	4	4475	14	6	0	0	213	464	0	0	5	17	38
Bacteria	Acinetobacter baumannii	鲍曼不动杆菌	11/21	12	0	0	141	47	205	0	9	0	210	0	214	0	0	2	7	8208	0	0	0	8
Bacteria	Pseudomonas extremorientalis	远东假单胞菌	11/21	221	21	0	3149	1089	0	2	7	0	4278	5	0	0	0	43	149	0	0	0	1	0
Bacteria	Actinomyces bouchesdurhonensis	放线菌属*	4/21	0	0	0	0	0	8616	0	0	0	5	0	0	0	39	0	0	0	177	0	0	0
