Kingdom	ScientificName	ChineseName	Comment	DR22041504P	DR22041505P	DR22041506P	DR22041507C	DR22041508C	DR22041509B	DR22041510B	DR22041511B	DR22041512E	DR22041513E	DR22041514P	DR22041515B	DR22041516B	DR22041517B	DR22041518P	DR22041519P	DR22041520P	DR22041521P	DRzknc590	DRzknc591	DRzknc592
-	Type	-	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA	DNA
Bacteria	Rothia mucilaginosa	黏液罗氏菌	10/21	491.74	0	0	8.83	22.28	448395.92	6349.21	1057.08	0	236.34	0	0	0	14477.26	79.96	0	0	5666.19	0	0	0
Bacteria	Sphingomonas parapaucimobilis	类少动鞘氨醇单胞菌	21/21	277051.34	456888.7	413483.15	106344.96	110505.44	184.09	244444.44	98308.67	6068.68	128339.06	357245.34	89403.97	173708.92	5829.77	335252.26	298808.4	2221.62	4166.32	397905.76	386061.95	364358.68
Bacteria	Pseudomonas fluorescens	荧光假单胞菌	21/21	65423.9	15058.14	51685.39	115572.77	99202.4	50.02	85714.29	46511.63	3108.35	77027.81	81779.05	4966.89	16431.92	1263.12	44375.15	65638.89	162.56	499.96	36649.21	14380.53	15891.03
Bacteria	Pseudomonas veronii	维罗纳假单胞菌	16/21	30622.05	7073.58	31460.67	56517.75	47061.36	28.01	25396.83	27484.14	1036.12	37243.76	32998.57	0	21126.76	0	22627.33	32179.88	0	0	0	4424.78	9080.59
Bacteria	Pseudomonas grimontii	格氏假单胞菌	14/21	24072.96	4769.3	0	45099.99	38327.86	16.01	38095.24	24312.9	1110.12	30223.39	22955.52	0	4694.84	0	15591.27	26794.13	0	0	0	0	6810.44
Bacteria	Methylobacterium phyllostachyos	甲基杆菌属*	8/21	0	0	0	32.38	44.56	10.0	34920.63	12684.99	1850.21	62188.87	0	0	0	0	0	0	0	0	15706.81	0	0
Bacteria	Pseudomonas panacis	人参假单胞菌	16/21	20429.6	3751.14	4494.38	35495.42	29898.85	0	25396.83	15856.24	888.1	23420.05	31563.85	0	0	97.16	11673.46	21004.44	216.74	166.65	10471.2	0	0
Bacteria	Sphingomonas melonis	瓜类鞘氨醇单胞菌	21/21	49352.91	78130.86	67415.73	19400.47	19449.85	30.01	34920.63	21141.65	592.07	22427.12	67431.85	16556.29	44600.94	1263.12	56288.48	52847.72	433.49	499.96	62827.23	88495.58	55618.62
Bacteria	Pseudomonas fildesensis	假单胞菌属*	10/21	15020.45	3590.38	0	26641.43	22776.89	0	0	14799.15	888.1	17771.65	0	0	0	0	9034.94	14070.28	0	0	0	0	2837.68
Bacteria	Streptococcus parasanguinis	副血链球菌	8/21	44.7	0	0	0	14.85	46028.37	6349.21	0	74.01	166.48	0	0	0	1165.95	0	0	0	10082.49	0	0	0
Bacteria	Pseudomonas extremaustralis	适冷假单胞菌	9/21	12517.04	3322.44	11235.96	23550.78	19761.76	0	0	0	0	15323.51	8608.32	0	0	0	8155.43	13094.12	0	0	0	0	0
Bacteria	Pseudomonas marginalis	莴苣叶斑病假单胞菌	9/21	9812.47	2518.62	13483.15	18264.29	15135.09	0	0	0	0	11821.5	0	0	0	0	5916.69	10165.61	0	0	0	0	3405.22
Bacteria	Xanthomonas campestris	野油菜黄单胞菌	12/21	4515.08	1607.63	0	5118.71	54294.71	0	3174.6	3171.25	222.02	11170.45	0	0	0	0	479.73	538.58	0	0	0	1106.19	9080.59
Bacteria	Schaalia odontolytica	龋齿放线菌	8/21	0	0	0	29.43	14.85	32369.73	3174.6	0	0	29.73	0	0	0	485.81	159.91	0	0	15748.69	0	0	0
Bacteria	Escherichia coli	大肠埃希菌	11/21	804.67	214.35	0	694.66	1448.16	286.14	0	0	971506.81	851.72	0	0	0	97.16	107699.69	673.22	0	0	0	0	567.54
Bacteria	Sphingomonas sanguinis	血红鞘氨醇单胞菌	17/21	24698.81	40833.82	26966.29	9501.55	10359.89	18.01	15873.02	12684.99	0	11287.88	31563.85	0	14084.51	0	29103.7	25144.74	270.93	0	20942.41	32079.65	27241.77
Bacteria	Abiotrophia defectiva	缺陷乏养菌	5/21	22.35	0	0	0	7.43	29788.48	0	0	0	2.97	0	0	0	11465.22	0	0	0	0	0	0	0
Bacteria	Neisseria subflava	微黄奈瑟菌	7/21	67.06	0	0	0	0	23979.65	0	0	74.01	37.16	0	0	2347.42	198406.53	0	0	0	583.28	0	0	0
Bacteria	Sphingomonas pseudosanguinis	伪血鞘氨醇单胞菌	20/21	21793.07	33813.84	31460.67	9289.62	9075.11	14.01	15873.02	13742.07	370.04	10126.98	22955.52	3311.26	0	582.98	27344.69	24538.84	433.49	749.94	41884.82	29867.26	26106.7
Bacteria	Methylobacterium pseudosasicola	甲基杆菌属*	6/21	0	0	0	0	0	2.0	6349.21	6342.49	444.05	19727.78	0	0	0	0	0	0	0	0	5235.6	0	0
Bacteria	Methylobacterium mesophilicum	嗜中温甲基杆菌	7/21	111.76	0	0	26.49	51.99	0	6349.21	5285.41	592.07	19341.31	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Granulicatella adiacens	毗邻颗粒链菌	7/21	0	0	0	8.83	0	24992.15	0	0	0	566.33	0	0	4694.84	1554.61	0	0	270.93	166.65	0	0	0
Bacteria	Pseudomonas rhodesiae	罗氏假单胞菌	9/21	7756.1	1768.39	0	12824.74	10954.0	0	0	0	0	9030.01	0	0	0	0	4477.49	7472.73	0	166.65	0	4424.78	0
Bacteria	Pseudomonas costantinii	康氏假单胞菌	8/21	7174.95	1768.39	0	13127.92	11243.63	0	0	0	0	8453.28	0	0	0	0	4717.36	8347.92	0	0	5235.6	0	0
Bacteria	Sphingomonas yabuuchiae	鞘氨醇单胞菌	17/21	19110.84	33813.84	33707.87	7547.08	7864.6	0	12698.41	0	222.02	9062.71	30129.12	0	18779.34	0	23027.1	21543.02	162.56	333.31	31413.61	35398.23	27241.77
Bacteria	Pseudomonas synxantha	类黄假单胞菌	9/21	7286.71	1768.39	0	12512.73	11065.4	0	0	6342.49	0	8701.51	5738.88	0	0	0	3917.81	8415.24	0	0	0	0	0
Bacteria	Pseudomonas sivasensis	假单胞菌属*	9/21	7376.11	1554.04	0	12553.94	11132.24	0	0	4228.33	0	8509.76	0	0	0	0	4957.22	7742.02	54.19	0	0	0	0
Bacteria	Acinetobacter calcoaceticus/baumannii complex	鲍曼不动杆菌复合群	13/21	-	-	0	-	-	-	0	-	0	-	-	-	0	0	-	-	-	0	0	0	-
Bacteria	Cutibacterium acnes	痤疮丙酸杆菌	19/21	19781.4	8841.97	6741.57	6060.62	9817.76	26.01	44444.44	7399.58	962.11	10113.61	2869.44	6622.52	2347.42	0	4237.63	6328.26	0	166.65	10471.2	3318.58	27809.31
Bacteria	Pseudomonas cedrina	松柏假单胞菌	8/21	6705.56	0	0	12274.31	10397.02	10.0	6349.21	0	0	7907.76	0	0	0	0	4317.58	7405.41	0	0	0	0	0
Bacteria	Prevotella melaninogenica	产黑素普雷沃菌	11/21	67.06	0	0	11.77	51.99	16908.22	6349.21	0	0	53.51	0	0	9389.67	44111.93	0	100.98	134110.0	1999.83	0	0	0
Bacteria	Streptococcus infantis	婴儿链球菌	4/21	0	0	0	0	0	22468.92	0	0	0	25.27	0	0	0	14865.92	0	0	0	416.63	0	0	0
Bacteria	Pseudomonas palleroniana	帕氏假单胞菌	8/21	7398.47	2036.33	0	11597.31	9654.37	0	0	0	296.03	8035.59	0	0	0	0	4317.58	5924.33	0	0	0	0	0
Bacteria	Pseudomonas tolaasii	蘑菇褐斑病假单胞菌	6/21	5833.84	0	0	11667.95	9349.89	0	0	0	0	7821.55	0	0	0	0	3837.85	6227.28	0	0	0	0	0
Bacteria	Streptococcus mitis	缓症链球菌	9/21	335.28	0	0	23.55	44.56	20600.01	15873.02	0	0	32.7	0	0	0	8744.66	0	0	433.49	2833.1	0	0	0
Bacteria	Actinomyces graevenitzii	放线菌属菌	5/21	0	0	0	0	0	19723.59	0	0	0	7.43	0	0	0	485.81	0	0	54.19	23581.37	0	0	0
Bacteria	Streptococcus rubneri	链球菌属*	4/21	44.7	0	0	2.94	0	19847.65	0	0	0	0	0	0	0	0	0	0	0	166.65	0	0	0
Bacteria	Pseudomonas allii	假单胞菌属*	9/21	5431.5	1286.1	13483.15	10343.39	9000.85	0	0	5285.41	0	6849.43	0	0	0	0	3118.25	5587.72	0	0	0	0	0
Bacteria	Pseudomonas orientalis	东方假单胞菌	7/21	4582.13	0	0	9475.06	8027.98	0	15873.02	0	0	6718.62	0	0	0	0	2798.43	4847.18	0	0	0	0	0
Bacteria	Pseudomonas lurida	浅黄色假单胞菌	6/21	5833.84	0	0	9625.18	8146.81	0	0	0	0	6457.01	0	0	0	0	4557.45	5722.36	0	0	0	0	0
Bacteria	Pseudomonas kairouanensis	假单胞菌属*	6/21	5856.19	1339.69	0	10034.32	8094.82	0	0	0	0	6213.24	0	0	0	0	0	6159.96	0	0	0	0	0
Bacteria	Sphingomonas zeae	鞘氨醇单胞菌属*	16/21	14707.53	25775.68	24719.1	5686.8	5762.92	16.01	19047.62	0	296.03	6651.73	20086.08	9933.77	0	0	17030.46	15618.69	0	0	26178.01	18805.31	21566.4
Bacteria	Acinetobacter baumannii	鲍曼不动杆菌	11/21	268.22	0	0	415.03	349.04	410.2	0	9513.74	0	312.15	0	354304.64	0	0	159.91	235.63	444757.52	0	0	0	4540.3
Bacteria	Pseudomonas extremorientalis	远东假单胞菌	11/21	4939.76	1125.34	0	9269.02	8087.39	0	6349.21	7399.58	0	6358.91	7173.6	0	0	0	3438.07	5015.48	0	0	0	1106.19	0
Bacteria	Actinomyces bouchesdurhonensis	放线菌属*	4/21	0	0	0	0	0	17240.38	0	0	0	7.43	0	0	0	3789.35	0	0	0	14748.77	0	0	0
Bacteria	Pseudomonas antarctica	南极假单胞菌	9/21	4805.65	0	0	9024.71	7701.22	0	0	0	296.03	6315.8	7173.6	3311.26	0	0	3677.94	4847.18	0	0	0	0	0
Bacteria	Pseudomonas simiae	猿猴假单胞菌	10/21	5476.21	0	0	9118.9	7931.44	0	9523.81	0	74.01	6076.49	11477.76	0	4694.84	0	2878.39	5049.15	0	0	0	0	0
Bacteria	Pseudomonas nabeulensis	假单胞菌属*	6/21	5207.98	0	0	8809.83	7589.82	0	0	0	0	6182.02	0	0	0	0	4317.58	5183.79	0	0	0	0	0
Bacteria	Pseudomonas aeruginosa	铜绿假单胞菌	16/21	5073.87	1286.1	0	7753.12	7790.34	8.0	22222.22	3171.25	444.05	6241.48	1434.72	8278.15	0	0	2558.57	4880.84	54.19	0	10471.2	0	1135.07
Bacteria	Sphingomonas paucimobilis	少动鞘氨醇单胞菌	21/21	13366.41	21649.43	17977.53	5045.12	4975.72	8.0	12698.41	8456.66	148.02	5967.98	14347.2	3311.26	9389.67	485.81	16870.55	15349.4	487.67	83.33	15706.81	23230.09	15891.03
Bacteria	Pseudomonas haemolytica	假单胞菌属*	7/21	4582.13	0	0	8174.04	7389.31	0	0	0	0	5805.96	0	3311.26	0	0	0	3904.67	0	0	0	0	1702.61
Bacteria	Streptococcus koreensis	链球菌属*	6/21	0	0	2247.19	2.94	0	15727.64	0	0	0	8.92	0	0	0	5149.63	0	0	0	83.33	0	0	0
Eukaryota:Fungi	Candida albicans	白色念珠菌	3/21	0	0	0	0	0	0	0	0	0	0	0	336092.72	4694.84	0	0	0	0	640863.26	0	0	0
Bacteria	Pseudomonas azotoformans	产氮假单胞菌	11/21	5185.63	1232.52	0	8203.48	6906.59	2.0	0	0	370.04	5370.44	0	0	4694.84	0	0	4813.52	0	0	5235.6	0	567.54
Bacteria	Sphingomonas echinoides	刺状鞘氨醇单胞菌	19/21	11935.89	20416.91	8988.76	5121.65	5057.41	6.0	6349.21	6342.49	148.02	5566.65	17216.64	1655.63	4694.84	194.33	11113.78	12420.9	0	0	5235.6	16592.92	13053.35
Bacteria	Pseudomonas poae	草假单胞菌	8/21	4626.84	1500.46	0	7794.33	6832.33	0	0	0	0	5435.84	0	0	0	0	3278.16	4510.57	0	0	0	0	2837.68
Bacteria	Sphingomonas koreensis	韩国鞘氨醇单胞菌	20/21	12159.41	20845.61	15730.34	4836.14	4819.76	12.01	6349.21	6342.49	74.01	5432.87	15781.92	3311.26	16431.92	291.49	15671.22	13632.69	54.19	0	10471.2	21017.7	15891.03
Bacteria	Pseudomonas chlororaphis	绿针假单胞菌	9/21	4537.43	1446.87	0	7723.69	6832.33	6.0	0	1057.08	0	5348.14	0	0	0	0	3118.25	4039.32	0	0	0	0	0
Bacteria	Pseudomonas trivialis	平凡假单胞菌	10/21	3866.87	1393.28	11235.96	7753.12	6527.84	0	0	6342.49	222.02	5080.59	0	0	0	0	1918.93	4712.54	0	0	0	0	0
Bacteria	Streptococcus oralis	口腔链球菌	9/21	111.76	0	0	26.49	7.43	13116.37	6349.21	0	0	19.32	0	0	0	3497.86	0	0	2709.29	11332.39	0	0	0
Bacteria	Ralstonia pickettii	皮氏罗尔斯顿菌	20/21	9387.78	12378.76	13483.15	4691.91	4307.34	12.01	3174.6	1057.08	222.02	4704.52	14347.2	13245.03	4694.84	485.81	11913.33	12319.91	0	166.65	10471.2	12168.14	13053.35
Bacteria	Sphingomonas hominis	鞘氨醇单胞菌属*	20/21	10080.69	15754.78	6741.57	4165.02	4767.78	8.0	12698.41	4228.33	222.02	4738.71	10043.04	6622.52	0	291.49	12792.84	10333.92	108.37	83.33	15706.81	8849.56	13053.35
Bacteria	Pseudomonas stutzeri	司徒茨假单胞菌	11/21	6057.35	2197.1	4494.38	2472.52	6891.74	0	0	3171.25	148.02	6143.38	0	0	0	0	2718.48	4005.66	0	0	5235.6	0	0
Bacteria	Pseudomonas putida	恶臭假单胞菌	10/21	3755.11	964.58	0	6561.02	6030.27	0	0	5285.41	0	4435.48	4304.16	0	0	0	2078.84	3534.4	0	0	0	1106.19	0
Bacteria	Agrobacterium tumefaciens	放射根瘤菌	7/21	737.61	321.53	0	3455.64	274.78	0	0	0	0	7536.15	0	0	0	0	79.96	134.64	0	0	0	0	0
Bacteria	Pseudomonas reactans	假单胞菌属*	8/21	3576.3	0	0	6746.45	5451.01	0	0	0	148.02	4425.07	0	0	0	0	2158.79	3534.4	0	0	0	0	1135.07
Bacteria	Pseudomonas yamanorum	雅马纳假单胞菌	7/21	3777.46	1554.04	0	6460.94	5740.64	0	0	0	0	4341.84	0	0	0	0	1998.88	4173.96	0	0	0	0	0
Bacteria	Pseudomonas cremoris	假单胞菌属*	8/21	3799.82	1071.75	0	6493.32	5198.51	0	0	0	148.02	4285.35	0	0	0	0	2318.7	3096.81	0	0	0	0	0
Bacteria	Pseudomonas syringae	洋丁香叶斑病假单胞菌	8/21	3621.0	0	0	6140.1	5859.46	0	0	0	0	4291.3	10043.04	0	0	194.33	1759.01	4106.64	0	0	0	0	0
Bacteria	Pseudomonas kitaguniensis	假单胞菌属*	12/21	3196.32	482.29	2247.19	6234.29	5666.37	8.0	3174.6	3171.25	296.03	4212.52	0	0	0	0	2078.84	4813.52	0	0	0	0	0
Bacteria	Pseudomonas lactis	假单胞菌属*	7/21	3866.87	1018.17	0	5866.35	5963.43	0	0	0	0	4365.62	0	0	0	0	2558.57	2861.18	0	0	0	0	0
Bacteria	Pseudomonas canadensis	假单胞菌属*	7/21	3464.54	964.58	0	6060.62	5280.2	0	0	0	0	4359.67	0	0	0	0	2478.61	3568.06	0	0	0	0	0
Bacteria	Methylobacterium brachiatum	分枝甲基杆菌	9/21	312.93	535.88	0	61.81	133.68	0	0	0	296.03	8603.4	0	0	2347.42	0	159.91	201.97	0	0	0	0	0
Bacteria	Acinetobacter guillouiae	吉洛不动杆菌	16/21	7487.87	11842.88	15730.34	2819.85	4441.01	0	0	0	370.04	4691.14	8608.32	1655.63	4694.84	194.33	9274.81	8953.82	0	0	15706.81	8849.56	13620.89
Bacteria	Haemophilus parainfluenzae	副流感嗜血杆菌	8/21	44.7	0	0	14.72	22.28	11257.47	3174.6	0	0	10.4	0	0	2347.42	388.65	0	0	0	0	0	0	0
