Kingdom	GenusName	GenusCN	GenusReads	GroupName	GroupReads	ScientificName	ChineseName	Comment	Reads_Number	GMRN	TPM	RH-RPM	Normalization	Verification	Focus	Coverage
Bacteria	Escherichia	埃希菌属	16536	-	0	Escherichia coli	大肠埃希菌	11/21	13127	13127	969727.2	971506.81	8735	100.00	+	100
Bacteria	Escherichia	埃希菌属	16536	-	0	Escherichia marmotae	旱獭埃希氏菌	1/21	7	13127	603.48	518.06	5	81.25	-	0
Bacteria	Escherichia	埃希菌属	16536	-	0	Escherichia albertii	艾伯特埃希菌	1/21	3	13127	246.26	222.02	2	True	-	0
Bacteria	Escherichia	埃希菌属	16536	-	0	Escherichia fergusonii	弗格森埃希菌	2/21	2	13127	160.95	148.02	2	True	-	0
Bacteria	Pseudomonas	假单胞菌属	1174	Pseudomonas fluorescens group	133	Pseudomonas fluorescens	荧光假单胞菌	21/21	42	42	2497.01	3108.35	28	100.00	-	2
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas grimontii	格氏假单胞菌	14/21	15	42	809.69	1110.12	10	100.00	-	10
Bacteria	Pseudomonas	假单胞菌属	1174	Pseudomonas fluorescens group	133	Pseudomonas veronii	维罗纳假单胞菌	16/21	14	42	760.75	1036.12	10	100.00	-	5
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas panacis	人参假单胞菌	16/21	12	42	663.15	888.1	8	100.00	-	10
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas fildesensis	假单胞菌属*	10/21	12	42	729.25	888.1	8	68.75	-	7
Bacteria	Pseudomonas	假单胞菌属	1174	Pseudomonas aeruginosa group	6	Pseudomonas aeruginosa	铜绿假单胞菌	16/21	6	42	346.72	444.05	4	81.25	+	1
Bacteria	Pseudomonas	假单胞菌属	1174	Pseudomonas fluorescens group	133	Pseudomonas azotoformans	产氮假单胞菌	11/21	5	42	286.08	370.04	4	True	-	4
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas palleroniana	帕氏假单胞菌	8/21	4	42	249.41	296.03	3	True	-	3
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas antarctica	南极假单胞菌	9/21	4	42	240.65	296.03	3	68.75	-	3
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas kitaguniensis	假单胞菌属*	12/21	4	42	261.34	296.03	3	100.00	-	1
Bacteria	Pseudomonas	假单胞菌属	1174	Pseudomonas fluorescens group	133	Pseudomonas trivialis	平凡假单胞菌	10/21	3	42	204.27	222.02	2	True	-	2
Bacteria	Pseudomonas	假单胞菌属	1174	Pseudomonas stutzeri group	3	Pseudomonas stutzeri	司徒茨假单胞菌	11/21	2	42	167.76	148.02	2	81.25	-	1
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas reactans	假单胞菌属*	8/21	2	42	116.35	148.02	2	100.00	-	1
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas arsenicoxydans	假单胞菌属菌	11/21	2	42	118.0	148.02	2	100.00	-	1
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas cremoris	假单胞菌属*	8/21	2	42	106.24	148.02	2	100.00	-	1
Bacteria	Pseudomonas	假单胞菌属	1174	Pseudomonas stutzeri group	3	Pseudomonas balearica	巴利阿里假单胞菌	5/21	1	42	85.01	74.01	1	100.00	-	1
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas simiae	猿猴假单胞菌	10/21	1	42	62.45	74.01	1	True	-	1
Bacteria	Pseudomonas	假单胞菌属	1174	-	0	Pseudomonas kribbensis	假单胞菌	4/21	1	42	60.67	74.01	1	True	-	1
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas parapaucimobilis	类少动鞘氨醇单胞菌	21/21	82	82	7876.02	6068.68	55	100.00	-	50
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas melonis	瓜类鞘氨醇单胞菌	21/21	8	82	770.27	592.07	6	100.00	-	4
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas pseudosanguinis	伪血鞘氨醇单胞菌	20/21	5	82	495.33	370.04	4	100.00	-	3
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas zeae	鞘氨醇单胞菌属*	16/21	4	82	368.54	296.03	3	68.75	-	2
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas yabuuchiae	鞘氨醇单胞菌	17/21	3	82	274.55	222.02	2	81.25	-	2
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas hominis	鞘氨醇单胞菌属*	20/21	3	82	323.49	222.02	2	100.00	-	3
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas paucimobilis	少动鞘氨醇单胞菌	21/21	2	82	184.17	148.02	2	True	-	1
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas adhaesiva	粘连鞘氨醇单胞菌	15/21	2	82	197.24	148.02	2	100.00	-	1
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas echinoides	刺状鞘氨醇单胞菌	19/21	2	82	179.92	148.02	2	100.00	-	2
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas ginsenosidimutans	转化人参皂苷鞘氨醇单胞菌	19/21	2	82	196.71	148.02	2	100.00	-	2
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas koreensis	韩国鞘氨醇单胞菌	20/21	1	82	84.71	74.01	1	100.00	-	1
Bacteria	Sphingomonas	鞘氨醇单胞菌属	229	-	0	Sphingomonas phyllosphaerae	叶球鞘氨醇单胞菌	11/21	1	82	97.86	74.01	1	100.00	-	1
Bacteria	Methylobacterium	甲基杆菌属	96	-	0	Methylobacterium phyllostachyos	甲基杆菌属*	8/21	25	25	1594.63	1850.21	17	100.00	-	21
Bacteria	Methylobacterium	甲基杆菌属	96	-	0	Methylobacterium mesophilicum	嗜中温甲基杆菌	7/21	8	25	468.23	592.07	6	75.00	-	7
