基因	变异分类	肿瘤类型	亚型	变异等级	证据来源	证据等级	证据类型	临床意义类别	治疗方案	方案描述	文献号	版本号
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NCCN	A级	治疗	敏感	奥希替尼	NCCN非小细胞肺癌指南提示，奥希替尼可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（首选推荐），另外，奥希替尼用于携带EGFR基因敏感突变的非小细胞肺癌成人患者肿瘤切除后或未接受铂类化疗的辅助治疗。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	CSCO	A级	治疗	敏感	奥希替尼	CSCO非小细胞肺癌诊疗指南提示，奥希替尼可用于Ⅳ期EGFR突变的NSCLC患者的一线治疗（1A类证据，Ⅰ级推荐），或用于IIIA,IIIB期非小细胞肺癌术后病理检测类型为EGFE敏感突变型的辅助治疗。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	FDA	A级	治疗	敏感	奥希替尼	FDA批准奥希替尼用于EGFR 19号外显子缺失或EGFR L858R突变的转移性非小细胞肺癌成人患者的一线治疗和术后辅助治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NMPA	A级	治疗	敏感	奥希替尼	NMPA批准奥希替尼用于EGFR外显子19缺失或外显子21（L858R）置换突变的局部晚期或转移性非小细胞肺癌（NSCLC）成人患者的一线治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NCCN	A级	治疗	敏感	厄洛替尼	NCCN非小细胞肺癌指南提示，厄洛替尼可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	CSCO	A级	治疗	敏感	厄洛替尼	CSCO非小细胞肺癌诊疗指南提示，厄洛替尼可用于Ⅳ期EGFR突变NSCLC患者一线治疗（1A类证据，Ⅰ级推荐）。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	FDA	A级	治疗	敏感	厄洛替尼	FDA批准厄洛替尼可用于EGFR 19外显子缺失或EGFR L858R突变的转移性非小细胞肺癌的一线治疗、维持治疗、至少一次化疗进展后的二线或更多线治疗方案。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NMPA	A级	治疗	敏感	厄洛替尼	NMPA批准厄洛替尼单药适用于表皮生长因子受体（EGFR）基因具有敏感突变的局部晚期或转移性非小细胞肺癌（NSCLC）患者的治疗，包括一线治疗、维持治疗，或既往接受过至少一次化疗进展后的二线及以上治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NCCN	A级	治疗	敏感	阿法替尼	NCCN非小细胞肺癌指南提示，阿法替尼可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	CSCO 	A级	治疗	敏感	阿法替尼	CSCO非小细胞肺癌诊疗指南提示，阿法替尼可用于Ⅳ期EGFR突变NSCLC患者一线治疗（1A类证据，Ⅰ级推荐）。	CSCO非小细胞肺癌诊疗指南	2022
