id	disease	drug
10000001	10000001	10000001
100163	1011	10003
100164	1003	10008
100165	1029	10010
100166	1003	10017
100167	1001	10095
100168	1001	10044
100169	1026	10049
100170	1027	10049
100171	1030	10049
100172	1031	10050
100173	1018	10064
100174	1019	10064
100175	1018	10082
100176	1019	10082
100177	1008	10087
100178	1025	10088
100179	1028	10088
100180	1032	10090
100181	1003	10091
100182	1028	10095
100183	1029	10104
100184	1032	10104
100185	1016	10105
100186	1026	10105
100187	1027	10105
100188	1030	10105
100189	1011	10111
100162	1009	10114
100161	1003	10109
100160	1011	10105
100159	1010	10105
100158	1001	10105
100157	1010	10095
100156	1003	10092
100155	1015	10090
100154	1011	10089
100153	1010	10088
100152	1004	10085
100151	1004	10084
100150	1019	10080
100149	1018	10080
100148	1001	10076
100147	1019	10074
100146	1018	10074
100145	1014	10074
100144	1001	10066
100143	1001	10058
100142	1001	10056
100141	1001	10055
100140	1011	10050
100139	1010	10050
100138	1007	10050
100137	1001	10050
100136	1011	10049
100135	1010	10049
100134	1001	10047
100133	1001	10045
100132	1019	10043
100131	1018	10043
100130	1005	10043
100129	1019	10040
100128	1018	10040
100127	1014	10040
100126	1013	10040
100125	1004	10040
100124	1008	10037
100123	1008	10027
100122	1004	10025
100121	1008	10010
100120	1006	10010
100119	1015	10008
100118	1001	10008
100117	1001	10007
100116	1011	10006
100115	1011	10004
100114	1001	10002
100113	1004	10001
100112	1021	10100
100111	1021	10099
100110	1021	10098
100109	1021	10113
100108	1016	10113
100107	1016	10042
100106	1023	10106
100105	1023	10086
100104	1023	10039
100103	1023	10111
100102	1023	10038
100101	1023	10099
100100	1023	10094
100099	1023	10093
100098	1023	10111
100097	1023	10029
100096	1020	10104
100095	1020	10090
100094	1020	10072
100093	1020	10078
100092	1020	10008
100091	1020	10033
100090	1009	10104
100089	1009	10090
100088	1009	10072
100087	1009	10078
100086	1009	10008
100085	1009	10033
100084	1012	10099
100083	1012	10094
100082	1012	10093
100081	1012	10111
100080	1012	10029
100079	1012	10106
100078	1012	10086
100077	1012	10039
100076	1012	10111
100075	1012	10038
100074	1005	10020
100073	1005	10082
100072	1005	10064
100071	1005	10074
100070	1005	10040
100069	1005	10080
100068	1005	10042
100067	1022	10037
100066	1022	10052
100065	1022	10103
100064	1022	10027
100063	1022	10101
100062	1022	10093
100061	1022	10072
100060	1022	10087
100059	1022	10081
100058	1022	10078
100057	1022	10075
100056	1022	10068
100055	1022	10066
100054	1022	10034
100053	1003	10028
100052	1003	10093
100051	1003	10072
100050	1003	10081
100049	1003	10083
100048	1003	10078
100047	1003	10062
100046	1003	10057
100045	1003	10108
100044	1003	10042
100043	1002	10061
100042	1002	10053
100041	1002	10081
100040	1002	10070
100039	1002	10059
100038	1001	10077
100037	1001	10097
100036	1001	10060
100035	1001	10023
100034	1001	10036
100033	1001	10063
100032	1001	10103
100031	1001	10102
100030	1001	10110
100029	1001	10095
100028	1001	10072
100027	1001	10088
100026	1001	10081
100025	1001	10041
100024	1001	10078
100023	1001	10079
100022	1001	10073
100021	1001	10071
100020	1001	10112
100019	1001	10035
100018	1001	10065
100017	1001	10054
100016	1001	10059
100015	1001	10051
100014	1001	10048
100013	1001	10049
100012	1001	10069
100011	1001	10096
100010	1001	10107
100009	1001	10067
100008	1001	10068
100007	1001	10046
100006	1001	10042
100005	1001	10034
100004	1001	10038
100003	1001	10032
100002	1001	10031
100001	1001	10030
