id	disease2drug	mut
10000174	100001	10000030
10000175	100017	10000030
10000176	100018	10000030
10000177	100019	10000026
10000178	100019	10000028
10000179	100019	10000029
10000180	100045	10000053
10000181	100049	10000053
10000182	100072	10000011
10000183	100073	10000011
10000184	100076	10000051
10000185	100080	10000073
10000186	100089	10000042
10000187	100092	10000033
10000188	100095	10000033
10000189	100119	10000033
10000190	100134	10000030
10000191	100148	10000003
10000192	100155	10000033
10000193	100163	10000066
10000194	100164	10000031
10000195	100165	10000035
10000196	100165	10000036
10000197	100165	10000037
10000198	100165	10000038
10000199	100166	10000009
10000200	100168	10000032
10000201	100169	10000007
10000202	100170	10000007
10000203	100171	10000007
10000204	100172	10000009
10000205	100173	10000011
10000206	100174	10000011
10000207	100175	10000011
10000208	100176	10000011
10000209	100177	10000035
10000210	100178	10000081
10000211	100179	10000082
10000212	100180	10000041
10000213	100181	10000031
10000214	100182	10000082
10000215	100183	10000042
10000216	100184	10000042
10000217	100185	10000009
10000218	100186	10000007
10000219	100187	10000007
10000220	100188	10000007
10000221	100189	10000050
10000173	100095	10000031
10000172	100092	10000031
10000171	100155	10000031
10000170	100119	10000031
10000169	100127	10000079
10000168	100127	10000078
10000167	100127	10000077
10000166	100127	10000076
10000165	100127	10000034
10000164	100127	10000018
10000163	100127	10000017
10000162	100127	10000016
10000161	100127	10000015
10000160	100127	10000005
10000159	100145	10000011
10000158	100127	10000011
10000157	100145	10000011
10000156	100127	10000011
10000155	100126	10000012
10000154	100126	10000012
10000153	100080	10000072
10000152	100076	10000072
10000151	100080	10000071
10000150	100076	10000071
10000149	100083	10000048
10000148	100082	10000048
10000147	100084	10000048
10000146	100076	10000048
10000145	100083	10000049
10000144	100082	10000049
10000143	100084	10000049
10000142	100076	10000049
10000141	100116	10000008
10000140	100115	10000008
10000139	100140	10000008
10000138	100116	10000010
10000137	100115	10000010
10000136	100140	10000010
10000135	100154	10000010
10000134	100116	10000009
10000133	100115	10000009
10000132	100140	10000009
10000131	100154	10000009
10000130	100160	10000009
10000129	100136	10000009
10000128	100153	10000082
10000127	100157	10000082
10000126	100153	10000081
10000125	100157	10000081
10000124	100159	10000007
10000123	100135	10000007
10000122	100139	10000009
10000121	100090	10000031
10000120	100162	10000031
10000119	100089	10000031
10000118	100138	10000009
10000117	100124	10000046
10000116	100121	10000035
10000115	100123	10000035
10000114	100120	10000037
10000113	100120	10000038
10000112	100120	10000035
10000111	100120	10000036
10000110	100147	10000011
10000109	100150	10000011
10000108	100129	10000011
10000107	100132	10000011
10000106	100146	10000011
10000105	100149	10000011
10000104	100128	10000011
10000103	100131	10000011
10000102	100071	10000011
10000101	100069	10000011
10000100	100070	10000011
10000099	100130	10000011
10000098	100151	10000031
10000097	100152	10000031
10000096	100113	10000074
10000095	100122	10000012
10000094	100125	10000012
10000093	100122	10000012
10000092	100125	10000012
10000091	100156	10000031
10000090	100161	10000009
10000089	100049	10000057
10000088	100045	10000057
10000087	100049	10000063
10000086	100045	10000063
10000085	100049	10000063
10000084	100045	10000063
10000083	100039	10000068
10000082	100040	10000068
10000081	100039	10000068
10000080	100040	10000068
10000079	100039	10000068
10000078	100040	10000068
10000077	100118	10000032
10000076	100143	10000032
10000075	100012	10000060
10000074	100031	10000060
10000073	100009	10000060
10000072	100037	10000059
10000071	100012	10000059
10000070	100031	10000059
10000069	100009	10000059
10000068	100035	10000056
10000067	100013	10000009
10000066	100158	10000009
10000065	100137	10000009
10000064	100144	10000081
10000063	100027	10000081
10000062	100029	10000081
10000061	100148	10000084
10000060	100011	10000084
10000059	100012	10000084
10000058	100016	10000084
10000057	100036	10000002
10000056	100012	10000002
10000055	100011	10000002
10000054	100148	10000002
10000053	100133	10000002
10000052	100002	10000002
10000051	100033	10000030
10000050	100003	10000030
10000049	100025	10000030
10000048	100025	10000021
10000047	100018	10000021
10000046	100017	10000021
10000045	100038	10000021
10000044	100114	10000021
10000043	100134	10000020
10000042	100018	10000020
10000041	100017	10000020
10000040	100025	10000020
10000039	100001	10000020
10000038	100038	10000020
10000037	100114	10000020
10000036	100117	10000025
10000035	100038	10000025
10000034	100114	10000025
10000033	100134	10000028
10000032	100018	10000028
10000031	100017	10000028
10000030	100025	10000028
10000029	100001	10000028
10000028	100134	10000026
10000027	100018	10000026
10000026	100017	10000026
10000025	100025	10000026
10000024	100001	10000026
10000023	100134	10000029
10000022	100018	10000029
10000021	100017	10000029
10000020	100025	10000029
10000019	100001	10000029
10000018	100003	10000027
10000017	100019	10000027
10000016	100141	10000027
10000015	100142	10000027
10000014	100134	10000027
10000013	100018	10000027
10000012	100001	10000027
10000011	100017	10000027
10000010	100025	10000027
10000009	100003	10000023
10000008	100019	10000023
10000007	100141	10000023
10000006	100142	10000023
10000005	100134	10000023
10000004	100018	10000023
10000003	100001	10000023
10000002	100017	10000023
10000001	100025	10000023
