基因	变异分类	肿瘤类型		变异等级	证据类型	靶向药物	临床意义类别	临床意义描述
EGFR	EGFR exon 19 del	非小细胞肺癌		I	治疗	奥希替尼、厄洛替尼、阿法替尼、吉非替尼、达可替尼、厄洛替尼+雷莫芦单抗、厄洛替尼+贝伐珠单抗、埃克替尼、阿美替尼	敏感	NCCN非小细胞肺癌指南推荐奥希替尼、厄洛替尼、阿法替尼、吉非替尼、达可替尼、埃克替尼、厄洛替尼+雷莫芦单抗、厄洛替尼+贝伐珠单抗（非鳞癌）用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗或后续治疗,其中奥希替尼为首选推荐，另外，奥希替尼也可用于EGFR基因敏感突变的非小细胞肺癌成人患者肿瘤切除后或未接受铂类化疗的辅助治疗。NMPA批准埃克替尼、阿美替尼用于携带EGFR敏感突变的局部晚期或转移性非小细胞肺癌非小细胞肺癌一线治疗。
EGFR	EGFR L858R	非小细胞肺癌		I	治疗	奥希替尼、厄洛替尼、阿法替尼、吉非替尼、达可替尼、厄洛替尼+雷莫芦单抗、厄洛替尼+贝伐珠单抗、埃克替尼、阿美替尼	敏感	NCCN非小细胞肺癌指南推荐奥希替尼、厄洛替尼、阿法替尼、吉非替尼、达可替尼、埃克替尼、厄洛替尼+雷莫芦单抗、厄洛替尼+贝伐珠单抗（非鳞癌）用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗或后续治疗,其中奥希替尼为首选推荐，另外，奥希替尼也可用于EGFR基因敏感突变的非小细胞肺癌成人患者肿瘤切除后或未接受铂类化疗的辅助治疗。NMPA批准埃克替尼、阿美替尼用于携带EGFR敏感突变的局部晚期或转移性非小细胞肺癌非小细胞肺癌一线治疗。
EGFR	EGFR S768I	非小细胞肺癌		I	治疗	阿法替尼、奥希替尼、厄洛替尼、吉非替尼、达可替尼	敏感	NCCN非小细胞肺癌指南推荐阿法替尼、奥希替尼、厄洛替尼、吉非替尼、达可替尼用于携带EGFR S768/EGFR L861Q/EGFR G719X突变的非小细胞肺癌患者的一线治疗，其中阿法替尼、奥希替尼为首选推荐。NMPA批准埃克替尼用于治疗EGFR基因敏感突变的局部晚期或转移性非小细胞肺癌。
EGFR	EGFR G719X	非小细胞肺癌		I	治疗	阿法替尼、奥希替尼、厄洛替尼、吉非替尼、达可替尼	敏感	NCCN非小细胞肺癌指南推荐阿法替尼、奥希替尼、厄洛替尼、吉非替尼、达可替尼用于携带EGFR S768/EGFR L861Q/EGFR G719X突变的非小细胞肺癌患者的一线治疗，其中阿法替尼、奥希替尼为首选推荐。NMPA批准埃克替尼用于治疗EGFR基因敏感突变的局部晚期或转移性非小细胞肺癌。
EGFR	EGFR L861Q	非小细胞肺癌		I	治疗	阿法替尼、奥希替尼、厄洛替尼、吉非替尼、达可替尼	敏感	NCCN非小细胞肺癌指南推荐阿法替尼、奥希替尼、厄洛替尼、吉非替尼、达可替尼用于携带EGFR S768/EGFR L861Q/EGFR G719X突变的非小细胞肺癌患者的一线治疗，其中阿法替尼、奥希替尼为首选推荐。NMPA批准埃克替尼用于治疗EGFR基因敏感突变的局部晚期或转移性非小细胞肺癌。
EGFR	EGFR exon 20 ins	非小细胞肺癌		I	治疗	Amivantamab-vmjw、Mobocertinib	敏感	NCCN非小细胞肺癌指南推荐Amivantamab-vmjw、Mobocertinib用于治疗铂类化疗后进展的EGFR第20号外显子插入突变的局部晚期或转移性非小细胞肺癌患者的后续治疗。FDA批准Amivantamab-vmjw、Mobocertinib用于接受以铂类为基础的化疗疾病进展中或之后携带表皮生长因子受体(EGFR)20号外显子插入突变的局部晚期或转移性非小细胞肺癌(NSCLC)成年患者治疗。
EGFR	EGFR exon 20 ins	非小细胞肺癌		I	治疗	EGFR TKIs	耐药	NCCN非小细胞肺癌指南提示，大多数EGFR第20号外显子插入突变对EGFR TKIs耐药。
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	治疗	Amivantamab-vmjw、Mobocertinib、阿法替尼、奥希替尼、厄洛替尼、吉非替尼、达可替尼	敏感	NCCN指南指出大多数EGFR 20外显子插入突变为EGFR-TKI耐药突变，但是p.A763_764insFQEA和p. A763_Y764insLQEA除外，p.A763_Y764insFQEA对EGFR-TKI治疗敏感，而p.A763_Y764insLQEA对第一、三代EGFR-TKI治疗敏感。具有EGFR 20号外显子插入突变的非小细胞肺癌患者全身治疗进展后的后续治疗可以选择amivantamab-vmjw和Mobocertinib。
EGFR	EGFR A763_Y764insLQEA	非小细胞肺癌		I	治疗	Amivantamab-vmjw、Mobocertinib、厄洛替尼、吉非替尼、奥希替尼	敏感	NCCN指南指出大多数EGFR 20外显子插入突变为EGFR-TKI耐药突变，但是p.A763_764insFQEA和p. A763_Y764insLQEA除外，p.A763_Y764insFQEA对EGFR-TKI治疗敏感，而p.A763_Y764insLQEA对第一、三代EGFR-TKI治疗敏感。具有EGFR 20号外显子插入突变的非小细胞肺癌患者全身治疗进展后的后续治疗可以选择amivantamab-vmjw和Mobocertinib。
EGFR	EGFR T790M	非小细胞肺癌		I	治疗	奥希替尼、阿美替尼、伏美替尼	敏感	FDA批准奥希替尼用于EGFR TKI治疗期间或之后疾病进展EGFR T790M突变阳性的转移性非小细胞肺癌的成人患者的治疗。NMPA批准奥希替尼、阿美替尼、伏美替尼用于既往经表皮生长因子受体(EGFR)酪氨酸激酶抑制剂(TKI)治疗时或治疗后出现疾病进展，并且经检测确认存在EGFR T790M突变阳性的局部晚期或转移性非小细胞性肺癌(NSCLC)成人患者的治疗。
